date,hour,massif,region,massif_unique,altitude,inclination,orientation,size_of_group,transported,with head buried in snow,dead,injured,unharmed,activite_regrouped,only_hour,year,month
2013-02-26,16:40,vanoise,alps,Vanoise,2100,30-34,NO,1,1,0,0,0,1,hiking,16,2013,2
2013-03-19,,vanoise,alps,Vanoise,0,,N,1,1,0,0,0,0,"off-piste (ski, snowboard)",0,2013,3
2013-03-19,15:55,vanoise,alps,Vanoise,1990,40-44,NO,5,1,1,1,0,0,"off-piste (ski, snowboard)",15,2013,3
2013-03-29,16:15,vanoise,alps,Vanoise,2490,40-44,E,6,1,1,1,0,0,"piste (ski, snowboard)",16,2013,3
2013-04-01,14:00,vanoise,alps,Vanoise,2900,>45,NO,3,2,0,0,0,0,hiking,14,2013,4
2013-04-01,,vanoise,alps,Vanoise,2800,,O,3,1,0,0,0,0,"off-piste (ski, snowboard)",0,2013,4
2013-04-14,,vanoise,alps,Vanoise,3600,30-34,SE,6,6,6,6,0,0,hiking,0,2013,4
2013-05-02,10:25,vanoise,alps,Vanoise,3530,>45,O,4,3,1,1,0,2,alpinisme,10,2013,5
2013-10-26,13:30,vanoise,alps,Vanoise,3450,>45,O,2,2,0,0,0,2,alpinisme,13,2013,10
2013-12-22,11:15,vanoise,alps,Vanoise,2150,35-39,NO,2,2,1,1,0,0,hiking,11,2013,12
2013-12-26,11:00,vanoise,alps,Vanoise,2245,35-39,N,2,1,1,1,0,0,"off-piste (ski, snowboard)",11,2013,12
2013-12-27,09:55,vanoise,alps,Vanoise,2540,35-39,E,6,3,1,1,0,1,"off-piste (ski, snowboard)",9,2013,12
2013-12-27,12:15,vanoise,alps,Vanoise,2100,35-39,NE,2,1,1,1,0,0,"cross-country (ski, snowboard etc.)",12,2013,12
2013-12-29,16:15,vanoise,alps,Vanoise,2200,40-44,NO,1,1,0,0,0,0,"off-piste (ski, snowboard)",16,2013,12
2014-01-05,14:05,vanoise,alps,Vanoise,2350,35-39,NO,2,2,1,1,0,1,"off-piste (ski, snowboard)",14,2014,1
2014-01-07,11:00,vanoise,alps,Vanoise,2830,35-39,NO,4,1,0,0,0,0,"off-piste (ski, snowboard)",11,2014,1
2014-01-27,16:30,vanoise,alps,Vanoise,0,,,1,1,1,1,0,0,"off-piste (ski, snowboard)",16,2014,1
2014-02-09,14:50,vanoise,alps,Vanoise,2400,40-44,NE,4,1,0,0,0,0,hiking,14,2014,2
2014-03-06,10:40,vanoise,alps,Vanoise,3150,40-44,N,3,1,0,0,0,0,"off-piste (ski, snowboard)",10,2014,3
2014-03-19,14:50,vanoise,alps,Vanoise,0,,NO,1,1,0,0,0,0,"off-piste (ski, snowboard)",14,2014,3
2014-12-22,12:35,vanoise,alps,Vanoise,3100,35-39,SE,5,2,1,1,0,1,hiking,12,2014,12
2014-12-30,15:00,vanoise,alps,Vanoise,2720,40-44,NO,2,1,1,1,0,0,"off-piste (ski, snowboard)",15,2014,12
2019-03-19,,vosges,other,other,0,,,1,1,0,0,0,1,"cross-country (ski, snowboard etc.)",0,2019,3
2015-01-30,16:10,vanoise,alps,Vanoise,2100,,,1,1,0,0,0,0,"off-piste (ski, snowboard)",16,2015,1
2019-04-14,,cinto,other,other,0,,,1,1,0,0,0,1,hiking,0,2019,4
2015-01-31,,vanoise,alps,Vanoise,2370,30-34,S,1,1,1,1,0,0,"cross-country (ski, snowboard etc.)",0,2015,1
2015-01-31,,vanoise,alps,Vanoise,0,,,1,1,1,1,0,0,"off-piste (ski, snowboard)",0,2015,1
2015-02-02,15:45,vanoise,alps,Vanoise,2250,,,2,1,1,1,0,0,"off-piste (ski, snowboard)",15,2015,2
2015-02-03,,vanoise,alps,Vanoise,0,,,1,1,1,1,0,0,"off-piste (ski, snowboard)",0,2015,2
2015-02-07,13:03,vanoise,alps,Vanoise,3050,40-44,NO,3,1,1,0,1,0,"off-piste (ski, snowboard)",13,2015,2
2015-03-03,11:35,vanoise,alps,Vanoise,0,,,4,4,1,1,0,0,"off-piste (ski, snowboard)",11,2015,3
2015-03-03,12:00,vanoise,alps,Vanoise,0,,SO,4,1,1,1,0,0,"off-piste (ski, snowboard)",12,2015,3
2015-04-06,13:35,vanoise,alps,Vanoise,2700,,,3,1,0,0,0,0,"off-piste (ski, snowboard)",13,2015,4
2015-04-06,,vanoise,alps,Vanoise,2730,,,2,1,0,0,0,0,hiking,0,2015,4
2016-01-09,13:00,vanoise,alps,Vanoise,0,,,1,1,0,0,0,0,"off-piste (ski, snowboard)",13,2016,1
2016-01-17,16:30,vanoise,alps,Vanoise,0,,,1,1,0,0,0,0,"piste (ski, snowboard)",16,2016,1
2016-01-20,12:25,vanoise,alps,Vanoise,2650,>45,E,2,1,1,1,0,0,"off-piste (ski, snowboard)",12,2016,1
2016-01-21,,vanoise,alps,Vanoise,0,,,3,3,0,0,0,0,"off-piste (ski, snowboard)",0,2016,1
2016-01-25,14:50,vanoise,alps,Vanoise,0,>45,S,3,1,0,0,0,0,hiking,14,2016,1
2016-01-27,11:38,vanoise,alps,Vanoise,2490,30-34,NE,9,4,0,0,0,1,"off-piste (ski, snowboard)",11,2016,1
2016-02-06,14:35,vanoise,alps,Vanoise,0,,,3,1,0,0,0,1,"off-piste (ski, snowboard)",14,2016,2
2016-02-13,12:55,vanoise,alps,Vanoise,2150,40-44,N,1,1,1,0,1,0,"off-piste (ski, snowboard)",12,2016,2
2019-12-10,,haute ariege,pyrenees,hte-ariege,0,,,1,1,0,0,1,0,"cross-country (ski, snowboard etc.)",0,2019,12
2016-03-15,14:15,vanoise,alps,Vanoise,1700,,,2,2,0,0,0,0,hiking,14,2016,3
2016-11-20,12:30,vanoise,alps,Vanoise,0,,,4,1,0,0,0,1,"off-piste (ski, snowboard)",12,2016,11
2017-01-14,13:00,vanoise,alps,Vanoise,0,,,1,1,1,1,0,0,"off-piste (ski, snowboard)",13,2017,1
2017-01-19,11:50,vanoise,alps,Vanoise,2430,30-34,O,15,1,1,1,0,0,hiking,11,2017,1
2017-02-12,14:55,vanoise,alps,Vanoise,1490,,,5,1,0,0,0,0,hiking,14,2017,2
2017-03-03,14:25,vanoise,alps,Vanoise,2300,,,7,5,0,0,0,0,"off-piste (ski, snowboard)",14,2017,3
2017-12-09,15:55,vanoise,alps,Vanoise,0,,,2,2,0,0,0,2,other,15,2017,12
2018-02-05,13:35,vanoise,alps,Vanoise,1890,30-34,SO,4,1,1,1,0,0,other,13,2018,2
2018-03-01,09:05,vanoise,alps,Vanoise,1890,30-34,SO,2,1,0,0,0,0,other,9,2018,3
2018-03-31,11:45,vanoise,alps,Vanoise,2450,,,1,1,0,0,0,0,"off-piste (ski, snowboard)",11,2018,3
2018-12-11,,vanoise,alps,Vanoise,0,,,3,3,0,0,0,3,"off-piste (ski, snowboard)",0,2018,12
2018-12-25,,vanoise,alps,Vanoise,0,,,2,2,0,0,0,2,"off-piste (ski, snowboard)",0,2018,12
2018-12-26,,vanoise,alps,Vanoise,0,,,1,1,1,0,1,0,"off-piste (ski, snowboard)",0,2018,12
